Date,Location,Genotype,Replicate,Tube No.,Sample_ID,% GC,Average Read Length,Median Read Length,% Failed FastQC 1,M Seqs (Raw Reads),% BP Trimmed,% GC (post-trimming),Average Read Length (post-trimming),Median Read Length (post-trimming),% Failed (post-trimming),M Seqs (post-trimming),% BP Trimmed (post-polyA trimming),% GC (post-polyA trimming),Average Read Length (post-polyA trimming),Median Read Length (post-polyA trimming),% Failed (post-polyA trimming),M Seqs (post-polyA trimming),Sample Name,% Aligned,M Aligned
10/26/21,CCC,Miami Beach-C,2,1087,1087_trimmed,73%,200 bp,200 bp,55%,12.1,48.90%,72%,129 bp,200 bp,55%,9.3,14.60%,77%,148 bp,200 bp,64%,6.8,1087_trimmed,4.50%,0.3
10/26/21,CCC,Cooper's,1,1088,1088_trimmed,77%,200 bp,200 bp,64%,2.1,37.20%,77%,149 bp,200 bp,64%,1.8,8.40%,80%,160 bp,200 bp,64%,1.5,,,
10/26/21,CCC,Miami Beach-C,3,1089,1089_trimmed,39%,200 bp,200 bp,55%,22.4,,35%,168 bp,197 bp,45%,19.3,,37%,127 bp,122 bp,36%,18.4,1089_trimmed,72.80%,13.4
10/26/21,CCC,Sunny Isles-E,3,1090,1090_trimmed,34%,200 bp,200 bp,36%,25,34.80%,30%,120 bp,107 bp,45%,24.7,29.40%,40%,105 bp,97 bp,27%,19.5,1090_trimmed,66.50%,13
10/26/21,CCC,Cheetos-B,2,1091,1091_trimmed,43%,200 bp,200 bp,45%,24.7,30.50%,41%,128 bp,122 bp,45%,24.4,10.00%,44%,117 bp,112 bp,18%,24.1,1091_trimmed,43.80%,10.6
10/26/21,CCC,Cheetos-B,3,1092,1092_trimmed,44%,200 bp,200 bp,36%,20,37.40%,39%,115 bp,102 bp,36%,19.8,14.90%,44%,105 bp,92 bp,36%,18.3,1092_trimmed,47.90%,8.8
10/26/21,CCC,stag hybrid,1,1096,1096_trimmed,43%,200 bp,200 bp,45%,18.7,35.80%,37%,118 bp,107 bp,36%,18.4,14.00%,42%,114 bp,107 bp,18%,16.3,1096_trimmed,51.60%,8.4
10/26/21,CCC,Miami Beach-C,1,1097,1097_trimmed,53%,200 bp,200 bp,45%,13.8,55.80%,48%,80 bp,77 bp,36%,13.1,9.60%,53%,73 bp,72 bp,18%,12.9,1097_trimmed,18.00%,2.3
10/26/21,CCC,Sunny Isles-E,1,1098,1098_trimmed,63%,200 bp,200 bp,36%,10.4,69.20%,48%,58 bp,52 bp,27%,8.5,9.10%,52%,55 bp,52 bp,18%,8,1098_trimmed,25.80%,2.1
10/26/21,CCC,Cheetos-B,1,1099,1099_trimmed,50%,200 bp,200 bp,36%,17.3,50.00%,44%,91 bp,82 bp,36%,16.7,11.20%,48%,81 bp,77 bp,45%,16.5,1099_trimmed,36.20%,6
10/26/21,CCC,Sunny Isles-E,2,1100,1100_trimmed,79%,200 bp,200 bp,55%,0.6,82.30%,54%,34 bp,32 bp,45%,0.4,0.20%,54%,34 bp,32 bp,45%,0.4,,,
11/3/21,nursery,Cheetos-B,1,2263,2263_trimmed,42%,200 bp,200 bp,55%,18.5,38.50%,36%,113 bp,97 bp,45%,18.2,16.20%,41%,101 bp,92 bp,18%,16.9,2263_trimmed,57.90%,
11/3/21,nursery,Cheetos-B,2,2264,2264_trimmed,80%,200 bp,200 bp,55%,0,82.10%,54%,43 bp,37 bp,45%,0,1.20%,54%,42 bp,37 bp,45%,0,,,9.8
11/3/21,nursery,Cheetos-B,3,2265,2265_trimmed,41%,200 bp,200 bp,45%,19,35.30%,35%,119 bp,107 bp,45%,18.8,16.30%,40%,106 bp,97 bp,18%,17.6,2265_trimmed,55.50%,9.8
11/3/21,nursery,Sunny Isles-E,1,2266,2266_trimmed,44%,200 bp,200 bp,45%,22.4,29.30%,40%,131 bp,127 bp,45%,22.2,9.00%,42%,120 bp,112 bp,36%,22.1,2266_trimmed,55.30%,12.2
11/3/21,nursery,Sunny Isles-E,2,2267,2267_trimmed,41%,200 bp,200 bp,45%,22.9,28.90%,38%,131 bp,127 bp,45%,22.7,10.90%,40%,117 bp,112 bp,27%,22.6,2267_trimmed,58.60%,13.3
11/3/21,nursery,Sunny Isles-E,3,2268,2268_trimmed,37%,200 bp,200 bp,45%,19.9,32.60%,33%,124 bp,117 bp,45%,19.6,18.00%,38%,110 bp,102 bp,27%,18,2268_trimmed,66.40%,12
11/3/21,nursery,Miami Beach-C,1,2382,2382_trimmed,35%,200 bp,200 bp,45%,18.6,,29%,115 bp,102 bp,45%,12.3,,40%,97 bp,87 bp,18%,9.6,2382_trimmed,58.10%,5.6
11/3/21,nursery,Miami Beach-C,2,2383,2383_trimmed,67%,200 bp,200 bp,45%,4.3,57.60%,59%,95 bp,67 bp,55%,3.7,21.30%,63%,85 bp,62 bp,55%,3.2,2383_trimmed,9.40%,0.3
11/3/21,nursery,Miami Beach-C,3,2384,2384_trimmed,49%,200 bp,200 bp,36%,19.3,31.30%,42%,137 bp,132 bp,45%,19.3,30.80%,48%,96 bp,92 bp,45%,19,2384_trimmed,29.80%,5.6