Date,Location,Genotype,Replicate,Tube No.,Sample_ID
10/26/21,CCC,Miami Beach-C,2,1087,1087_trimmed
10/26/21,CCC,Cooper's,1,1088,1088_trimmed
10/26/21,CCC,Miami Beach-C,3,1089,1089_trimmed
10/26/21,CCC,Sunny Isles-E,3,1090,1090_trimmed
10/26/21,CCC,Cheetos-B,2,1091,1091_trimmed
10/26/21,CCC,Cheetos-B,3,1092,1092_trimmed
10/26/21,CCC,stag hybrid,1,1096,1096_trimmed
10/26/21,CCC,Miami Beach-C,1,1097,1097_trimmed
10/26/21,CCC,Sunny Isles-E,1,1098,1098_trimmed
10/26/21,CCC,Cheetos-B,1,1099,1099_trimmed
10/26/21,CCC,Sunny Isles-E,2,1100,1100_trimmed
11/3/21,nursery,Cheetos-B,1,2263,2263_trimmed
11/3/21,nursery,Cheetos-B,2,2264,2264_trimmed
11/3/21,nursery,Cheetos-B,3,2265,2265_trimmed
11/3/21,nursery,Sunny Isles-E,1,2266,2266_trimmed
11/3/21,nursery,Sunny Isles-E,2,2267,2267_trimmed
11/3/21,nursery,Sunny Isles-E,3,2268,2268_trimmed
11/3/21,nursery,Miami Beach-C,1,2382,2382_trimmed
11/3/21,nursery,Miami Beach-C,2,2383,2383_trimmed
11/3/21,nursery,Miami Beach-C,3,2384,2384_trimmed